127.0.0.1 - - [17/Jun/2024:14:21:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:21:20 +0900] "GET /JSP2/ex01Request.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:21:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:21:24 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:29:40 +0900] "GET /JSP2/ex01Request.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:29:46 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:38:22 +0900] "GET /JSP2/ex01Request.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:38:34 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:39:42 +0900] "GET /JSP2/ex01Request.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:39:49 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:43:33 +0900] "GET /JSP2/ex01Request.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:43:40 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:44:20 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:45:13 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:45:50 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:46:41 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:47:01 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:47:17 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:47:32 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:47:48 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:49:09 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:49:52 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:50:21 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:50:37 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:50:49 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:51:06 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:51:22 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:51:30 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:51:58 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:52:10 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:54:23 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:54:57 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:55:16 +0900] "POST /JSP2/ex01Result.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:25:46 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:26:11 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:26:23 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:27:23 +0900] "GET /JSP2/ex02CreateInput.html?num= HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:27:26 +0900] "GET /JSP2/ex02CreateInput.html?num= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:27:34 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:27:35 +0900] "GET /JSP2/ex02CreateInput.jsp?num= HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:06 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:19 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:30 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:31 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:32 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:28:36 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:43:31 +0900] "GET /JSP2/ex02CreateInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:43:36 +0900] "GET /JSP2/ex02CreateInput.jsp?num=3 HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:44:11 +0900] "GET /JSP2/ex02CreateInput.jsp?num=3 HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:44:28 +0900] "GET /JSP2/ex02CreateInput.jsp?num=3 HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:44:38 +0900] "GET /JSP2/ex02CreateInput.jsp?num=3 HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [17/Jun/2024:15:48:51 +0900] "GET /JSP2/ex02RandomWinner.jsp?topic=%EC%98%A4%EB%8A%98%EC%A0%80%EB%85%81+%EB%AD%90%EB%A8%B9%EC%A7%80&random=%ED%95%9C%EC%9A%B0&random=%EA%B0%88%EB%B9%84&random= HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [17/Jun/2024:16:16:29 +0900] "GET /JSP2/ex02CreateInput.jsp?num=3 HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [17/Jun/2024:16:16:44 +0900] "GET /JSP2/ex02RandomWinner.jsp?topic=%EC%98%A4%EB%8A%98%EC%A0%80%EB%85%81+%EB%AD%90%EB%A8%B9%EC%A7%80&random=%ED%95%9C%EC%9A%B0&random=%EA%B0%88%EB%B9%84&random=%EA%B9%80%EB%B0%A5%EB%82%98%EB%9D%BC HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [17/Jun/2024:16:27:46 +0900] "GET /JSP2/ex03NaverPage.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [17/Jun/2024:16:28:36 +0900] "GET /JSP2/ex03Move.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Jun/2024:16:28:37 +0900] "GET /JSP2/ex03NaverPage.jsp? HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:23:05 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:30:35 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:30:37 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:31:57 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:32:00 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:32:00 +0900] "GET /JSP2/ex05LoginFail.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:32:03 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:32:03 +0900] "GET /JSP2/ex05LoginFail.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:30 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:33 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:35 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:35 +0900] "GET /JSP2/ex05LoginFail.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:42 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:42:42 +0900] "GET /JSP2/ex05LoginSuccess.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:43:24 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:43:24 +0900] "GET /JSP2/ex05LoginSuccess.jsp?id=smart HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:54:30 +0900] "GET /JSP2/ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2024:17:54:35 +0900] "POST /JSP2/ex05Login.jsp HTTP/1.1" 200 285
